Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2014,19.0,MIL,NBA,SF,77,23,1897,0.414,10.8,0.718,0.476,0.098,0.045,0.098,0.282,0.44,0.573,0.171,0.105,0.22,0.347,0.621,0.707,0.16,61,0.127,0.067,1,0,ROY-7,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,0.1,1.1,1.2,0.031,-2.4,-0.1,-2.5,-0.2,77,6.8,4.4,1.9,24.6
2015,20.0,MIL,NBA,SG,81,71,2541,0.491,7.2,0.944,0.506,0.178,0.067,0.192,0.056,0.511,0.646,0.288,0.423,0.393,0.159,0.519,0.857,0.129,95,0.159,0.143,1,0,,14.8,0.552,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4.0,6.2,0.117,-1.2,1.2,0.0,1.2,81,12.7,6.7,2.6,31.4
2016,21.0,MIL,NBA,PG,80,79,2823,0.506,7.5,0.892,0.509,0.18,0.058,0.143,0.108,0.537,0.684,0.346,0.288,0.359,0.257,0.485,0.821,0.143,141,0.321,0.343,4,0,,18.8,0.566,0.108,0.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9,80,16.9,7.7,4.3,35.3
2017,22.0,MIL,NBA,SF,80,80,2845,0.521,8.7,0.857,0.496,0.149,0.064,0.146,0.143,0.563,0.709,0.394,0.338,0.342,0.272,0.42,0.714,0.164,194,0.111,0.2,4,0,"MVP-7,MIP-1,AS,NBA2,DEF2",26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,80,22.9,8.8,5.4,35.6
2018,23.0,MIL,NBA,PF,75,75,2756,0.529,8.4,0.9,0.454,0.173,0.114,0.16,0.1,0.554,0.756,0.355,0.35,0.339,0.307,0.429,0.907,0.122,161,0.107,0.333,1,0,"MVP-6,AS,NBA2",27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,75,26.9,10.0,4.8,36.7
2019,24.0,MIL,NBA,PF,72,72,2358,0.578,7.7,0.837,0.573,0.152,0.051,0.063,0.163,0.641,0.769,0.339,0.381,0.41,0.256,0.472,0.673,0.246,279,0.044,0.222,1,0,"MVP-1,DPOY-2,AS,NBA1,DEF1",30.9,0.644,0.163,0.55,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4,72,27.7,12.5,5.9,32.8
2020,25.0,MIL,NBA,PF,63,63,1917,0.553,9.8,0.763,0.482,0.16,0.073,0.048,0.237,0.631,0.779,0.343,0.433,0.4,0.304,0.438,0.551,0.17,197,0.034,0.5,0,0,"MVP-1,DPOY-1,AS,NBA1,DEF1",31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.279,7.4,4.1,11.5,6.6,63,29.5,13.6,5.6,30.4
2021,26.0,MIL,NBA,PF,61,61,2013,0.569,9.5,0.799,0.451,0.193,0.094,0.062,0.201,0.636,0.837,0.401,0.359,0.324,0.303,0.428,0.299,0.169,178,0.045,0.3,0,0,"MVP-4,DPOY-5,AS,NBA1,DEF1",29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9.0,5.6,61,28.1,11.0,5.9,33.0
2022,27.0,MIL,NBA,PF,67,67,2204,0.553,9.8,0.806,0.399,0.194,0.119,0.08,0.194,0.616,0.805,0.419,0.419,0.43,0.293,0.426,0.423,0.147,174,0.025,0.167,2,0,"MVP-3,DPOY-6,AS,NBA1,DEF1",32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,67,29.9,11.6,5.8,32.9
2023,28.0,MIL,NBA,PF,63,63,2024,0.553,8.1,0.866,0.48,0.212,0.091,0.084,0.134,0.596,0.791,0.354,0.353,0.355,0.275,0.415,0.617,0.166,198,0.023,0.25,0,0,"MVP-3,DPOY-6,AS,NBA1",29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,63,31.1,11.8,5.7,32.1
2024,29.0,MIL,NBA,PF,73,73,2567,0.611,6.7,0.909,0.519,0.251,0.068,0.072,0.091,0.645,0.818,0.452,0.323,0.374,0.274,0.509,0.5,0.193,251,0.024,0.0,1,0,"MVP-4,DPOY-9,CPOY-12,AS,NBA1",29.9,0.649,0.091,0.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,9.5,3.7,13.2,0.246,6.7,2.4,9.0,7.2,73,30.4,11.5,6.5,35.2
2025,30.0,MIL,NBA,PF,67,67,2289,0.601,7.0,0.952,0.511,0.195,0.096,0.15,0.048,0.62,0.773,0.428,0.48,0.439,0.222,0.429,0.5,0.205,243,0.048,0.0,1,0,"MVP-3,DPOY-8,AS,NBA1",30.5,0.625,0.048,0.536,7.3,29.7,19.0,36.0,1.2,3.2,11.2,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,67,30.4,11.9,6.5,34.2
2026,31.0,MIL,NBA,PF,36,36,1039,0.624,6.1,0.925,0.61,0.161,0.064,0.09,0.075,0.647,0.8,0.427,0.289,0.259,0.333,0.475,0.867,0.247,142,0.022,1.0,0,0,AS,32.6,0.658,0.075,0.597,10.7,27.4,19.2,38.7,1.6,2.3,13.2,37.0,3.9,1.1,5.0,0.231,7.7,1.8,9.5,3.0,36,27.6,9.8,5.4,28.9
