Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2015,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,20,DEN,NBA,C,80.0,55.0,1733.0,0.512,7.6,0.86,0.418,0.293,0.078,0.068,0.14,0.541,0.622,0.477,0.447,0.415,0.333,0.595,0.929,0.018,11.0,0.143,0.333,0.0,0.0,ROY-3,21.5,0.582,0.14,0.317,11.4,24.7,17.9,18.1,2.3,2.3,13.2,19.9,4.5,2.2,6.7,0.185,2.6,1.3,3.9,2.6,80.0,10.0,7.0,2.4,21.7
2017,21,DEN,NBA,C,73.0,59.0,2038.0,0.578,9.5,0.837,0.349,0.293,0.097,0.102,0.163,0.628,0.674,0.624,0.53,0.552,0.324,0.566,0.933,0.029,23.0,0.072,0.1,1.0,0.0,,26.3,0.64,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,7.7,2.0,9.7,0.228,5.9,1.4,7.3,4.8,73.0,16.7,9.8,4.9,27.9
2018,22,DEN,NBA,C,75.0,73.0,2443.0,0.499,11.9,0.723,0.225,0.287,0.113,0.096,0.277,0.538,0.674,0.5,0.456,0.443,0.396,0.542,0.892,0.009,8.0,0.075,0.571,3.0,0.0,,24.4,0.603,0.277,0.31,9.0,27.9,18.5,29.6,1.8,2.1,15.5,24.2,7.8,2.9,10.7,0.211,5.3,1.6,6.9,5.5,75.0,18.5,10.7,6.1,32.6
2019,23,DEN,NBA,C,80.0,80.0,2504.0,0.511,10.4,0.776,0.323,0.299,0.086,0.067,0.224,0.569,0.695,0.499,0.519,0.346,0.307,0.48,0.916,0.009,11.0,0.022,0.333,4.0,0.0,"MVP-4,AS,NBA1",26.3,0.589,0.224,0.292,9.8,27.6,18.7,37.0,2.1,1.9,15.4,27.4,7.5,4.3,11.8,0.226,6.2,2.9,9.1,7.0,80.0,20.1,10.8,7.3,31.3
2020,24,DEN,NBA,C,73.0,73.0,2336.0,0.528,12.0,0.762,0.237,0.275,0.143,0.107,0.238,0.594,0.724,0.599,0.49,0.435,0.314,0.511,0.85,0.014,15.0,0.039,0.5,4.0,0.0,"MVP-9,AS,NBA2",24.9,0.605,0.238,0.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,73.0,19.9,9.7,7.0,32.0
2021,25,DEN,NBA,C,72.0,72.0,2488.0,0.566,10.6,0.817,0.244,0.35,0.14,0.082,0.183,0.606,0.753,0.572,0.481,0.528,0.388,0.484,0.967,0.037,45.0,0.034,0.375,3.0,0.0,"MVP-1,AS,NBA1",31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8,72.0,26.4,10.8,8.3,34.6
2022,26,DEN,NBA,C,74.0,74.0,2476.0,0.583,10.2,0.78,0.268,0.384,0.082,0.046,0.22,0.652,0.776,0.606,0.565,0.467,0.337,0.58,0.918,0.025,31.0,0.038,0.273,3.0,0.0,"MVP-1,AS,NBA1",32.8,0.661,0.22,0.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,74.0,27.1,13.8,7.9,33.5
2023,27,DEN,NBA,C,69.0,69.0,2323.0,0.632,8.6,0.854,0.303,0.414,0.092,0.038,0.146,0.675,0.784,0.643,0.5,0.59,0.383,0.603,0.825,0.022,21.0,0.027,0.25,2.0,0.0,"MVP-2,CPOY-13,AS,NBA2",31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17.0,27.2,11.2,3.8,14.9,0.308,8.5,4.5,13.0,8.8,69.0,24.5,11.8,9.8,33.7
2024,28,DEN,NBA,C,79.0,79.0,2737.0,0.583,9.7,0.836,0.26,0.404,0.115,0.057,0.164,0.626,0.741,0.614,0.537,0.37,0.359,0.572,0.807,0.013,17.0,0.035,0.25,8.0,0.0,"MVP-1,CPOY-4,AS,NBA1",31.0,0.65,0.164,0.31,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,12.0,5.1,17.0,0.299,9.0,4.2,13.2,10.6,79.0,26.4,12.4,9.0,34.6
2025,29,DEN,NBA,C,70.0,70.0,2571.0,0.576,11.5,0.757,0.235,0.403,0.078,0.042,0.243,0.627,0.725,0.605,0.491,0.544,0.417,0.653,0.862,0.019,25.0,0.045,0.533,22.0,2.0,"MVP-2,CPOY-2,AS,NBA1",32.0,0.663,0.243,0.331,9.0,28.2,19.1,44.1,2.4,1.6,12.8,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,70.0,29.6,12.7,10.2,36.7
2026,30,DEN,NBA,C,65.0,65.0,2265.0,0.569,11.5,0.739,0.216,0.374,0.11,0.04,0.261,0.636,0.755,0.589,0.597,0.533,0.38,0.564,0.804,0.019,19.0,0.061,0.556,0.0,0.0,"MVP-2,CPOY-6,AS,NBA1",32.3,0.67,0.261,0.424,10.0,30.4,20.7,50.3,2.0,2.2,15.3,30.4,11.5,3.4,14.9,0.316,10.1,4.1,14.2,9.2,65.0,27.7,12.9,10.7,34.8
